id,title,authors,year,venue,search_strings,v1_decision,v1_reason,v2_decision,v2_reason
425,Resolving Code Review Comments with Machine Learning,"Froemmgen, Alexander; Austin, Jacob; Choy, Peter; Ghelani, Nimesh; Kharatyan, Lera; Surita, Gabriela; Khrapko, Elena; Lamblin, Pascal; Manzagol, Pierre-Antoine; Revaj, Marcus; Tabachnyk, Maxim; Tarlow, Daniel; Villela, Kevin; Zheng, Daniel; Chandra, Satish; Maniatis, Petros",2024,Proceedings of the 46th International Conference on Software Engineering: Software Engineering in Practice,String A,EXCLUDE,EC-O - Giải quyết bình luận review mã nguồn bằng Machine Learning,x,
426,Revisiting the Conflict-Resolving Problem from a Semantic Perspective,"Dong, Jinhao; Sun, Jun; Lin, Yun; Zhang, Yedi; Ma, Murong; Dong, Jin Song; Hao, Dan",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,"String A, String B",EXCLUDE,EC-O - Giải quyết xung đột gộp mã (merge conflict) bằng test,x,
427,Risk Assessment Framework for Code LLMs via Leveraging Internal States,"Huang, Yuheng; Ma, Lei; Nishikino, Keizaburo; Akazaki, Takumi",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,"String A, String B",EXCLUDE,EC-O - Khung đánh giá rủi ro cho mã nguồn được sinh bởi LLM,x,
428,"Rocks Coding, Not Development: A Human-Centric, Experimental Evaluation of LLM-Supported SE Tasks","Wang, Wei; Ning, Huilong; Zhang, Gaowei; Liu, Libo; Wang, Yi",2024,Proceedings of the ACM on Software Engineering,String A,EXCLUDE,EC-O - Đánh giá khả năng hỗ trợ lập trình của ChatGPT,x,
429,RunTyper: Enhancing Deep Type Inference Using Dynamic Analysis for Python,"Yang, Guowei; He, Shilin; Song, Fu; Chen, Yuqi",2025,ACM Transactions on Software Engineering and Methodology,String B,EXCLUDE,EC-O - Tập trung vào suy luận kiểu dữ liệu (Type Inference) cho Python,x,
430,Rust-lancet: Automated Ownership-Rule-Violation Fixing with Behavior Preservation,"Yang, Wenzhang; Song, Linhai; Xue, Yinxing",2024,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,String A,EXCLUDE,"EC-O - Sửa lỗi vi phạm quy tắc sở hữu trong Rust, không phải sinh unit test Java/Python",x,
431,Rust-twins: Automatic Rust Compiler Testing through Program Mutation and Dual Macros Generation,"Yang, Wenzhang; Gao, Cuifeng; Liu, Xiaoyuan; Li, Yuekang; Xue, Yinxing",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,String B,EXCLUDE,EC-O - Kiểm thử trình biên dịch Rust,x,
432,SETBVE: Quality-Diversity Driven Exploration of Software Boundary Behaviors,"Akbarova, Sabinakhon; Dobslaw, Felix; Neto, Francisco Gomes De Oliveira; Feldt, Robert",2026,ACM Transactions on Software Engineering and Methodology,String A,UNSURE,Chưa rõ mức độ kiểm thử và có sử dụng LLM hay không,EXCLUDE,EC-O - Kiểm thử truyền thống không dùng LLM; tập trung vào dò tìm giá trị biên hộp đen bằng tối ưu hóa Quality-Diversity
433,SPOLRE: Semantic Preserving Object Layout Reconstruction for Image Captioning System Testing,"Liu, Yi; Wang, Guanyu; Zheng, Xinyi; Deng, Gelei; Wang, Kailong; Liu, Yang; Wang, Haoyu",2026,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,EC-O - Kiểm thử hệ thống chú thích hình ảnh,x,
434,STARK: A Comprehensive Framework for PLC Structured Text Assistant for Reasoning and Knowledge,"Saha, Diya; Chatterjee, Biswajit; Gain, Supriya; Sinha, Manjira; Dasgupta, Tirthankar; Bhaumik, Chirabrata",2026,Proceedings of the 19th Innovations in Software Engineering Conference,String A,EXCLUDE,"EC-O - Sinh mã PLC (Structured Text), không phải unit test Java/Python.",x,
435,STRUT: Structured Seed Case Guided Unit Test Generation for C Programs using LLMs,"Liu, Jinwei; Li, Chao; Chen, Rui; Li, Shaofeng; Gu, Bin; Yang, Mengfei",2025,Proceedings of the ACM on Software Engineering,"String A, String B, String C",EXCLUDE,"EC-O - Kiểm thử đơn vị cho ngôn ngữ C, không phải Java/Python",x,
436,SafeRace: Assessing and Addressing WebGPU Memory Safety in the Presence of Data Races,"Levine, Reese; Lee, Ashley; Abbas, Neha; Little, Kyle; Sorensen, Tyler",2025,Proceedings of the ACM on Programming Languages,String B,EXCLUDE,EC-O - Đánh giá an toàn bộ nhớ cho WebGPU,x,
437,Scaling Automated Database System Testing,"Zhong, Suyang; Rigger, Manuel",2026,"Proceedings of the 31st ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 2","String A, String B",EXCLUDE,EC-O - Kiểm thử hệ quản trị cơ sở dữ liệu (DBMS),x,
438,Sedar: Obtaining High-Quality Seeds for DBMS Fuzzing via Cross-DBMS SQL Transfer,"Fu, Jingzhou; Liang, Jie; Wu, Zhiyong; Jiang, Yu",2024,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,String B,EXCLUDE,EC-O - Sinh seed cho DBMS fuzzing,x,
439,Seeking Specifications: The Case for Neuro-Symbolic Specification Synthesis,"Granberry, George; Ahrendt, Wolfgang; Johansson, Moa",2026,Formal Aspects of Computing,"String A, String B",EXCLUDE,EC-O - Sinh đặc tả hình thức (ACSL) cho ngôn ngữ C,x,
440,Self-Collaboration Code Generation via ChatGPT,"Dong, Yihong; Jiang, Xue; Jin, Zhi; Li, Ge",2024,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,EC-O - Khung làm việc tự cộng tác để sinh mã nguồn,x,
441,SelfPiCo: Self-Guided Partial Code Execution with LLMs,"Xue, Zhipeng; Gao, Zhipeng; Wang, Shaohua; Hu, Xing; Xia, Xin; Li, Shanping",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,"String A, String B, String C",EXCLUDE,"EC-O - Thực thi mã nguồn từng phần (Partial code execution), không phải sinh unit test",x,
442,SemFuzz: A Semantics-Aware Fuzzing Framework for Network Protocol Implementations,"Sun, Yanbang; Luo, Quan; Wang, Yuelin; Chen, Qian; Liu, Benjin; Chen, Ruiqi; Huang, Qing; Li, Xiaohong; Wang, Junjie",2026,Proceedings of the ACM Web Conference 2026,String B,EXCLUDE,EC-O - Fuzzing các bản cài đặt giao thức mạng,x,
443,Semantic Constraint Inference for Web Form Test Generation,"Alian, Parsa; Nashid, Noor; Shahbandeh, Mobina; Mesbah, Ali",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String A,EXCLUDE,EC-O - Kiểm thử biểu mẫu Web,x,
444,Semantic Equivalence Verification of HPC Codes Using LLMs,"Tanizawa, Yuta; Kawai, Masatoshi; Takahashi, Keichi; Takizawa, Hiroyuki",2026,Proceedings of the Supercomputing Asia and International Conference on High Performance Computing in Asia Pacific Region Workshops,String A,EXCLUDE,EC-O - Xác minh tương đương ngữ nghĩa cho mã HPC,x,
445,Serving Hybrid LLM Loads with SLO Guarantees Using CPU-GPU Attention Piggybacking,"Mo, Zizhao; Chen, Junlin; Xu, Huanle; Xu, ChengZhong",2026,Proceedings of the ACM on Management of Data,String A,EXCLUDE,"EC-O - Tối ưu hóa việc triển khai/vận hành mô hình LLM, không phải SE task.",x,
446,Sifting through the Chaff: On Utilizing Execution Feedback for Ranking the Generated Code Candidates,"Sun, Zhihong; Wan, Yao; Li, Jia; Zhang, Hongyu; Jin, Zhi; Li, Ge; Lyu, Chen",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,String A,EXCLUDE,EC-O - Xếp hạng và lựa chọn mã nguồn ứng viên,x,
447,Significant Productivity Gains through Programming with Large Language Models,"Weber, Thomas; Brandmaier, Maximilian; Schmidt, Albrecht; Mayer, Sven",2024,Proceedings of the ACM on Human-Computer Interaction,String A,EXCLUDE,EC-O - Nghiên cứu về năng suất lập trình viên nói chung khi dùng LLM.,x,
448,SimADFuzz: Simulation-Feedback Fuzz Testing for Autonomous Driving Systems,"Yang, Huiwen; Zhou, Yu; Chen, Taolue",2026,ACM Transactions on Software Engineering and Methodology,String B,EXCLUDE,EC-O - Kiểm thử hệ thống lái xe tự động,x,
449,Smaller but Better: Self-Paced Knowledge Distillation for Lightweight yet Effective LCMs,"Chen, Yujia; Ye, Yang; Li, Zhongqi; Ma, Yuchi; Gao, Cuiyun",2025,Proceedings of the ACM on Software Engineering,String A,EXCLUDE,EC-O - Phương pháp chưng cất tri thức cho Code LLM,x,
450,Smart Software Analysis for Software Quality Assurance,"Li, Li",2024,ACM Turing Award Celebration Conference 2024,String A,EXCLUDE,EC-N - Bài viết định hướng về phân tích phần mềm thông minh,x,
451,Software Engineering for AI-Based Systems: A Survey,"Martínez-Fernández, Silverio; Bogner, Justus; Franch, Xavier; Oriol, Marc; Siebert, Julien; Trendowicz, Adam; Vollmer, Anna Maria; Wagner, Stefan",2022,ACM Transactions on Software Engineering and Methodology,String B,EXCLUDE,EC-N - Bài khảo sát về SE cho các hệ thống dựa trên AI,x,
452,Software Engineering for Collective Cyber-Physical Ecosystems,"Casadei, Roberto; Aguzzi, Gianluca; Audrito, Giorgio; Damiani, Ferruccio; Pianini, Danilo; Scarso, Giordano; Torta, Gianluca; Viroli, Mirko",2025,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,EC-N - Bài viết định hướng về SE cho hệ sinh thái thực-ảo tập thể,x,
453,Software Engineering for OpenHarmony: A Research Roadmap,"Li, Li; Gao, Xiang; Sun, Hailong; Hu, Chunming; Sun, Carolyn; Wang, Haoyu; Cai, Haipeng; Su, Ting; Luo, Xiapu; Bissyande, Tegawendé; Klein, Jacques; Grundy, John; Xie, Tao; Chen, Haibo; Wang, Huaimin",2026,ACM Computing Surveys,"String A, String B",EXCLUDE,EC-N - Lộ trình nghiên cứu SE cho hệ điều hành OpenHarmony,x,
454,Software Product Line Engineering via Software Transplantation,"Oliveria De Souza, Leandro; Santana De Almeida, Eduardo; Silveira Neto, Paulo Anselmo Da Mota; Barr, Earl T.; Petke, Justyna",2025,ACM Transactions on Software Engineering and Methodology,String B,EXCLUDE,EC-O - Kỹ thuật cấy ghép phần mềm (Software transplantation),x,
455,SolGen: Secure Smart Contract Code Generation Using Large Language Models Via Masked Prompting,"Alam, Md Tauseef; Goswami, Sorbajit; Singh, Khushi; Halder, Raju; Maiti, Abyayananda; Banerjee, Soumyadip",2025,Proceedings of the 18th Innovations in Software Engineering Conference,String A,EXCLUDE,"EC-O - Sinh mã hợp đồng thông minh (Smart Contract), không phải unit test Java/Python.",x,
456,Standing on the Shoulders of Giants: Bug-Aware Automated GUI Testing via Retrieval Augmentation,"Chen, Mengzhuo; Liu, Zhe; Chen, Chunyang; Wang, Junjie; Wu, Boyu; Hu, Jun; Wang, Qing",2025,Proceedings of the ACM on Software Engineering,"String A, String B",EXCLUDE,EC-O - Kiểm thử giao diện (GUI Testing),x,
457,State-of-the-Art and Challenges of Engineering ML- Enabled Software Systems in the Deep Learning Era,"Assres, Gebremariam; Bhandari, Guru; Shalaginov, Andrii; Gronli, Tor-Morten; Ghinea, Gheorghita",2025,ACM Computing Surveys,String A,EXCLUDE,EC-N - Khảo sát thách thức của phần mềm dựa trên Machine Learning,x,
458,Static Code Analysis for IoT Security: A Systematic Literature Review,"Gomes, Diego; Felix, Eduardo; Aires, Fernando; Vieira, Marco",2026,ACM Computing Surveys,"String A, String B",EXCLUDE,EC-N - Bài tổng quan hệ thống về phân tích mã tĩnh cho bảo mật IoT,x,
459,Static Program Analysis Guided LLM Based Unit Test Generation,"Roy Chowdhury, Sujoy; Sridhara, Giriprasad; Raghavan, A K; Bose, Joy; Mazumdar, Sourav; Singh, Hamender; Sugumaran, Srinivasan Bajji; Britto, Ricardo",2024,Proceedings of the 8th International Conference on Data Science and Management of Data (12th ACM IKDD CODS and 30th COMAD),"String A, String B, String C",INCLUDE,"IC-P, IC-I, IC-E (Dùng phân tích tĩnh hướng dẫn LLM sinh unit test Java)",INCLUDE,"Đọc full-text, đủ IC-L, IC-T, IC-P, IC-I, IC-E "
460,Static and Dynamic Comparison of Mutation Testing Tools for Python,"Guerino, Lucca Renato; Kuroishi, Pedro Henrique; Paiva, Ana Cristina Ramada; Vincenzi, Auri Marcelo Rizzo",2024,Proceedings of the XXIII Brazilian Symposium on Software Quality,"String A, String B, String C",EXCLUDE,"EC-O - So sánh các công cụ mutation testing cho Python, không phải sinh unit test",x,
461,Survey on Learning-based Dynamic Fault Localization: From Traditional Machine Learning to Large Language Models,"Liu, Chunyan; Lei, Yan; Xie, Huan; Wang, Jinping; Yu, Yue; Lo, David",2026,ACM Computing Surveys,"String A, String B",EXCLUDE,EC-N - Bài tổng quan về định vị lỗi (fault localization),x,
462,Surveying the Benchmarking Landscape of Large Language Models in Code Intelligence,"Abdollahi, Mohammad; Zhang, Ruixin; Shiri Harzevili, Nima; Shin, Jiho; Wang, Song; Hemmati, Hadi",2026,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,EC-N - Bài tổng quan về các benchmark trong trí tuệ mã nguồn,x,
463,Syntax Is All You Need: A Universal-Language Approach to Mutant Generation,"Deb, Sourav; Jain, Kush; Van Tonder, Rijnard; Le Goues, Claire; Groce, Alex",2024,Proceedings of the ACM on Software Engineering,"String A, String B, String C",EXCLUDE,EC-O - Phương pháp sinh đột biến (mutant generation) đa ngôn ngữ,x,
464,Syntest-JavaScript: Automated Unit-Level Test Case Generation for JavaScript,"Olsthoorn, Mitchell; Stallenberg, Dimitri; Panichella, Annibale",2024,Proceedings of the 17th ACM/IEEE International Workshop on Search-Based and Fuzz Testing,"String A, String B, String C",EXCLUDE,"EC-O - Kiểm thử đơn vị cho JavaScript, không sử dụng LLM",x,
465,Synthesis-Based Enhancement for GUI Test Case Migration,"Zhang, Yakun; Zhu, Qihao; Yan, Jiwei; Liu, Chen; Zhang, Wenjie; Zhao, Yifan; Hao, Dan; Zhang, Lu",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String A,EXCLUDE,EC-O - Di trú test case giao diện (GUI Test Migration) không phải unit test hàm.,x,
466,Targeted Deep Learning System Boundary Testing,"Weißl, Oliver; Abdellatif, Amr; Chen, Xingcheng; Merabishvili, Giorgi; Riccio, Vincenzo; Kacianka, Severin; Stocco, Andrea",2025,ACM Transactions on Software Engineering and Methodology,"String A, String B, String C",EXCLUDE,EC-O - Kiểm thử biên cho hệ thống Deep Learning,x,
467,Teaching Code LLMs to Use Autocompletion Tools in Repository-Level Code Generation,"Wang, Chong; Zhang, Jian; Feng, Yebo; Li, Tianlin; Sun, Weisong; Liu, Yang; Peng, Xin",2025,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,EC-O - Sinh mã nguồn mức repository,x,
468,TerzoN: Human-in-the-Loop Software Testing with a Composite Oracle,"Davis, Matthew C.; Wei, Amy; Myers, Brad A.; Sunshine, Joshua",2025,Proceedings of the ACM on Software Engineering,String B,UNSURE,"Có nhắc đến sinh test cho TypeScript, cần xác nhận thực nghiệm mức Unit",EXCLUDE,"EC-O: Out of topic - traditional non-LLM testing. TerzoN uses type-based input generation and property-based test assertions, not LLMs."
469,Test Case-Informed Knowledge Tracing for Open-ended Coding Tasks,"Duan, Zhangqi; Fernandez, Nigel; Hicks, Alexander; Lan, Andrew",2025,Proceedings of the 15th International Learning Analytics and Knowledge Conference,String A,EXCLUDE,EC-O - Theo dõi kiến thức sinh viên trong giáo dục lập trình,x,
470,Test Optimization in DNN Testing: A Survey,"Hu, Qiang; Guo, Yuejun; Xie, Xiaofei; Cordy, Maxime; Ma, Lei; Papadakis, Mike; Le Traon, Yves",2024,ACM Transactions on Software Engineering and Methodology,String B,EXCLUDE,EC-N - Bài tổng quan về kiểm thử mạng nơ-ron sâu,x,
471,Test Oracle Automation in the Era of LLMs,"Molina, Facundo; Gorla, Alessandra; d’Amorim, Marcelo",2025,ACM Transactions on Software Engineering and Methodology,"String A, String B, String C",EXCLUDE,EC-N - Bài viết định hướng (roadmap) về tự động hóa oracle,x,
472,Test Oracle Generation for REST APIs,"Alonso, Juan C.; Ernst, Michael D.; Segura, Sergio; Ruiz-Cortés, Antonio",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B",EXCLUDE,EC-O - Sinh test oracle cho REST API,x,
473,Test-Driven Development and LLM-based Code Generation,"Mathews, Noble Saji; Nagappan, Meiyappan",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,String A,EXCLUDE,"EC-O - Sử dụng test case có sẵn để hỗ trợ sinh mã nguồn (Code generation), không phải sinh test case",x,
474,TestGPT-Server: Automatically Testing Microservices with Large Language Models at ByteDance,"Wang, Jue; Chen, Shuxiang; Liu, Yu; Deng, Yuan; Zhang, Lei; Fu, Yuanchang; Liu, Bo",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,"String A, String B, String C",EXCLUDE,"EC-O - Kiểm thử mức API cho microservices tại ByteDance, không phải unit test hàm",x,
475,TestLoop: A Process Model Describing Human-in-the-Loop Software Test Suite Generation,"Davis, Matthew C.; Choi, Sangheon; Wei, Amy; Estep, Sam; Myers, Brad A.; Sunshine, Joshua",2025,ACM Transactions on Software Engineering and Methodology,"String A, String B",EXCLUDE,EC-N - Xây dựng mô hình quy trình sinh test suite dựa trên quan sát người dùng,x,
476,TestSpark: IntelliJ IDEA's Ultimate Test Generation Companion,"Sapozhnikov, Arkadii; Olsthoorn, Mitchell; Panichella, Annibale; Kovalenko, Vladimir; Derakhshanfar, Pouria",2024,Proceedings of the 2024 IEEE/ACM 46th International Conference on Software Engineering: Companion Proceedings,"String A, String B, String C",INCLUDE,"IC-P, IC-I, IC-E (Plugin IntelliJ hỗ trợ sinh unit test Java bằng LLM)",EXCLUDE,"Không có thực nghiệm kiểm chứng. Đây là bài báo giới thiệu/trình diễn công cụ, thiếu các bảng biểu/hình ảnh định lượng toàn diện"
477,Testing Learning-Enabled Cyber-Physical Systems with Large-Language Models: A Formal Approach,"Zheng, Xi; Mok, Aloysius K.; Piskac, Ruzica; Lee, Yong Jae; Krishnamachari, Bhaskar; Zhu, Dakai; Sokolsky, Oleg; Lee, Insup",2024,Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering,String B,EXCLUDE,EC-O - Kiểm thử hệ thống thực-ảo (CPS),x,
478,Testing and Debugging Quantum Programs: The Road to 2030,"Leite Ramalho, Neilson Carlos; Amario De Souza, Higor; Lordello Chaim, Marcos",2025,ACM Transactions on Software Engineering and Methodology,"String A, String C",EXCLUDE,EC-N - Lộ trình nghiên cứu (Roadmap) về lập trình lượng tử,x,
479,Testing like Mad Libs: Fuzzing SMT Solvers with Historical Unusual Inputs Empowered by LLMs,"Sun, Maolin; Yang, Yibiao; Jia, Haoxiang; Wu, Jiangchang; Li, Qingyang; Xie, Zifan; Wen, Ming; Zhou, Yuming",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B",EXCLUDE,EC-O - Kiểm thử trình giải SMT (SMT solver fuzzing),x,
480,Testing the Limits: Unusual Text Inputs Generation for Mobile App Crash Detection with Large Language Model,"Liu, Zhe; Chen, Chunyang; Wang, Junjie; Chen, Mengzhuo; Wu, Boyu; Tian, Zhilin; Huang, Yuekai; Hu, Jun; Wang, Qing",2024,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,"String A, String B",EXCLUDE,EC-O - Kiểm thử giao diện di động và sinh dữ liệu đầu vào,x,
481,Tex2Py-45K: A Parallel Corpus Dataset for Bidirectional Conversion Between LaTeX and Python,"Li, Lei; Duan, Manni; Wang, Yongheng",2024,Proceedings of the 2024 8th International Conference on Computer Science and Artificial Intelligence,String A,EXCLUDE,EC-O - Chuyển đổi mã LaTeX sang Python,x,
482,The Current Challenges of Software Engineering in the Era of Large Language Models,"Gao, Cuiyun; Hu, Xing; Gao, Shan; Xia, Xin; Jin, Zhi",2025,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,"EC-N - Bài thảo luận về các thách thức trong kỹ thuật phần mềm thời đại LLM, không có thực nghiệm",x,
483,The First Prompt Counts the Most! An Evaluation of Large Language Models on Iterative Example-Based Code Generation,"Fu, Yingjie; Li, Bozhou; Li, Linyi; Zhang, Wentao; Xie, Tao",2025,Proceedings of the ACM on Software Engineering,"String A, String B",EXCLUDE,EC-O - Đánh giá LLM trong sinh mã nguồn dựa trên ví dụ (I/O),x,
484,The FormAI Dataset: Generative AI in Software Security through the Lens of Formal Verification,"Tihanyi, Norbert; Bisztray, Tamas; Jain, Ridhi; Ferrag, Mohamed Amine; Cordeiro, Lucas C.; Mavroeidis, Vasileios",2023,Proceedings of the 19th International Conference on Predictive Models and Data Analytics in Software Engineering,String A,EXCLUDE,EC-O - Tập dữ liệu mã C và phân loại lỗ hổng bảo mật,x,
485,The Future of AI-Driven Software Engineering,"Terragni, Valerio; Vella, Annie; Roop, Partha; Blincoe, Kelly",2025,ACM Transactions on Software Engineering and Methodology,"String A, String B",EXCLUDE,EC-N - Bài viết về tầm nhìn tương lai của SE dựa trên AI,x,
486,"The Good, the Bad, and the Missing: Neural Code Generation for Machine Learning Tasks","Shin, Jiho; Wei, Moshi; Wang, Junjie; Shi, Lin; Wang, Song",2024,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,EC-O - Sinh mã nguồn cho các tác vụ Machine Learning,x,
487,The Mutators Reloaded: Fuzzing Compilers with Large Language Model Generated Mutation Operators,"Ou, Xianfei; Li, Cong; Jiang, Yanyan; Xu, Chang",2024,"Proceedings of the 29th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 4",String B,EXCLUDE,EC-O - Kiểm thử trình biên dịch (Compiler fuzzing),x,
488,The Programmer’s Assistant: Conversational Interaction with a Large Language Model for Software Development,"Ross, Steven I.; Martinez, Fernando; Houde, Stephanie; Muller, Michael; Weisz, Justin D.",2023,Proceedings of the 28th International Conference on Intelligent User Interfaces,String A,EXCLUDE,EC-O - Nghiên cứu về tương tác hội thoại trong SE,x,
489,The Sustainability Face of Automated Program Repair Tools,"Martinez, Matias; Martínez-Fernández, Silverio; Franch, Xavier",2025,ACM Transactions on Software Engineering and Methodology,"String A, String B",EXCLUDE,EC-O - Nghiên cứu tính bền vững (năng lượng) của công cụ APR,x,
490,"The Way We Notice, That’s What Really Matters: Instantiating UI Components with Distinguishing Variations","Vaithilingam, Priyan; Leung, Alan; Nichols, Jeffrey; Barik, Titus",2026,Proceedings of the 2026 CHI Conference on Human Factors in Computing Systems,String B,EXCLUDE,EC-O - Khởi tạo thành phần UI bằng LLM cho phát triển front-end,x,
491,Top Score on the Wrong Exam: On Benchmarking in Machine Learning for Vulnerability Detection,"Risse, Niklas; Liu, Jing; Böhme, Marcel",2025,Proceedings of the ACM on Software Engineering,String A,EXCLUDE,EC-O - Đánh giá benchmark cho phát hiện lỗ hổng,x,
492,Toward the Automated Localization of Buggy Mobile App UIs from Bug Descriptions,"Saha, Antu; Song, Yang; Mahmud, Junayed; Zhou, Ying; Moran, Kevin; Chaparro, Oscar",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String A,EXCLUDE,EC-O - Định vị lỗi giao diện ứng dụng di động,x,
493,Towards AI-Native Software Engineering (SE 3.0): A Vision and a Challenge Roadmap,"Hassan, Ahmed E.; Oliva, Gustavo A.; Lin, Dayi; Chen, Boyuan; Jiang, Zhen Ming (Jack)",2026,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,EC-N - Lộ trình nghiên cứu kỹ thuật phần mềm AI-native (SE 3.0),x,
494,Towards Automated Task-Aware Data Validation,"Chen, Hao; Schelter, Sebastian",2025,Proceedings of the Workshop on Data Management for End-to-End Machine Learning,String A,EXCLUDE,EC-O - Kiểm thử đơn vị dữ liệu (data unit testing) không phải mã nguồn Java/Python,x,
495,Towards Diverse Program Transformations for Program Simplification,"Wang, Haibo; Xing, Zezhong; Sun, Chengnian; Wang, Zheng; Tan, Shin Hwei",2025,Proceedings of the ACM on Software Engineering,String A,EXCLUDE,EC-O - Đơn giản hóa chương trình (Program Simplification) không phải unit test.,x,
496,Towards Human-Centered RAG: A Study of AI-Supported Testing Practices in Italian Public Administration,"Alrabie, Lina; Andolina, Salvatore",2025,Proceedings of the 16th Biannual Conference of the Italian SIGCHI Chapter,String B,UNSURE,"Nghiên cứu về trợ lý kiểm thử AI, cần xác nhận thực nghiệm mức Unit",EXCLUDE,EC-O: Ngoài phạm vi nghiên cứu - đây là nghiên cứu định tính về trải nghiệm người dùng với 15 kiểm thử viên. Thiếu các đánh giá định lượng về hiệu suất tạo kiểm thử
497,Towards Interpreting the Behavior of Large Language Models on Software Engineering Tasks,"Dipongkor, Atish Kumar",2024,Proceedings of the 2024 IEEE/ACM 46th International Conference on Software Engineering: Companion Proceedings,String A,EXCLUDE,EC-N - Bài viết định hướng về giải thích hành vi LLM,x,
498,Towards LLM-Based Automatic Playtest,"Zhao, Yan; Tang, Chiawei",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,String B,EXCLUDE,EC-O - Kiểm thử tự động cho trò chơi (Playtest),x,
499,Towards More Complete Constraints for Deep Learning Library Testing via Complementary Set Guided Refinement,"Go, Gwihwan; Zhou, Chijin; Zhang, Quan; Zou, Xiazijian; Shi, Heyuan; Jiang, Yu",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,"String A, String B, String C",EXCLUDE,EC-O - Kiểm thử thư viện Deep Learning (tổng hợp ràng buộc),x,
500,Towards Understanding Refactoring Engine Bugs,"Wang, Haibo; Xu, Zhuolin; Zhang, Huaien; Tsantalis, Nikolaos; Tan, Shin Hwei",2026,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,EC-O - Nghiên cứu lỗi trong các công cụ hỗ trợ tái cấu trúc mã nguồn,x,
501,Towards Understanding the Effectiveness of Large Language Models on Directed Test Input Generation,"Jiang, Zongze; Wen, Ming; Cao, Jialun; Shi, Xuanhua; Jin, Hai",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,"String A, String B, String C",UNSURE,Sinh test input hướng mục tiêu bằng LLM nhưng chưa rõ mức Unit hay System,INCLUDE,"Đọc full-text, đủ IC-L, IC-T, IC-P, IC-I, IC-E "
502,Towards a CDIO Teaching Model for Software Testing Courses under the Bidirectional Empowerment of Artificial Intelligence,"Yang, Xiaonan",2025,Proceedings of the 2025 4th International Conference on Artificial Intelligence and Education,String A,EXCLUDE,EC-O - Mô hình giảng dạy kiểm thử phần mềm không tập trung thực nghiệm unit test.,x,
503,Tracking the Moving Target: A Framework for Continuous Evaluation of LLM Test Generation in Industry,"Azanza, Maider; Pérez Lamancha, Beatriz; Pizarro, Eneko",2025,Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering,"String A, String B, String C",INCLUDE,"IC-P, IC-I, IC-E (Khung đánh giá liên tục việc sinh test bằng LLM trong công nghiệp)",INCLUDE,"Đọc full-text, đủ IC-L, IC-T, IC-P, IC-I, IC-E "
504,Tratto: A Neuro-Symbolic Approach to Deriving Axiomatic Test Oracles,"Molinelli, Davide; Martin-Lopez, Alberto; Zackrone, Elliott; Eken, Beyza; Ernst, Michael D.; Pezzè, Mauro",2025,Proceedings of the ACM on Software Engineering,"String A, String B, String C",INCLUDE,"IC-P, IC-I, IC-E (Sinh axiomatic test oracle cho unit test Java so sánh với GPT-4)",INCLUDE,"Đọc full-text, đủ IC-L, IC-T, IC-P, IC-I, IC-E "
